"ID Fiche Terrain";"Libellé Sortie";"ID Fiche Fréquentation";"Libellé Territoire";"Code Site";"Libellé Site";"Heure Comptage";"Nb Total";"Nb Adultes";"Nb Enfants";"Nb Pecheurs Site";"Nb Pecheurs Arrivee";"Nb Pecheurs Départ";"Présence Zone Interdite";"Nb Pecheurs Zone Interdite";"Type Interdiction";"Autres usages";"Commentaires"
261245;"Perre d_Antiochat_23/05/2016_12:11_Adrien Privat, Eva Teggers_3293";261246;"Estuaire de la Gironde et Mer des Pertuis";"EGMP_116";"Perré d'Antiochat";"12:11";8;;;8;0;;;;;"";
261247;"Barnenez_25/05/2016_15:00_Michel Moguen_8880";261248;"Pays de Morlaix";"MORL_09";"Plouezoch - Barnenez / Ile Sterec";"03:00";16;15;1;;;;;;;"Conchyliculture | Promeneurs, joggeurs";
261251;"Clemenceau_25/05/2016_13:15_Pauline Trecant_4254";261252;"Estuaire de la Gironde et Mer des Pertuis";"EGMP_007";"Clémenceau";"01:15";1;;;;;;;;;"Sports de glisse (surf, body-board, kite surf, etc.) | Promeneurs, joggeurs | Autres pêches de loisir";
261253;"Fond de la baie_25/05/2016_15:10_Michaël Tanghe_8881";261254;"Pays de Morlaix";"MORL_19";"Locquirec - Fond de la baie";"03:10";34;32;2;33;1;;;;;"";"41 enfants en pêche découverte (CPIE)"
261255;"Fort de la pointe_25/05/2016_13:35_Adrien Lowenstein_154";261256;"Estuaire de la Gironde et Mer des Pertuis";"EGMP_091";"Fort de la Pointe";"01:35";0;0;0;0;0;;;;;"";
261257;"Ile aux oiseaux_25/05/2016_13:30_DM_10339";261258;"Bassin d'Arcachon";"BARC_23-24";"Saous - Cabanes tchanquées";"01:30";3;3;0;;;;;;;"";
261259;"ile Madame/ Estuaire de la Charente_25/05/2016_12:45_CIGOLOTTI Anne_4066";261260;"Estuaire de la Gironde et Mer des Pertuis";"EGMP_092";"Ile Madame/ Estuaire de la Charente";"12:45";0;;;;;;;;;"Promeneurs, joggeurs";
261261;"ile Madame/ Les Palles_25/05/2016_12:20_CIGOLOTTI Anne_4095";261262;"Estuaire de la Gironde et Mer des Pertuis";"EGMP_093";"ile Madame/ Les Palles";"12:20";16;;;8;2;;;;;"Conchyliculture | Promeneurs, joggeurs";
261263;"Ile Madame/ Verger_25/05/2016_12:30_CIGOLOTTI Anne_4124";261264;"Estuaire de la Gironde et Mer des Pertuis";"EGMP_094";"Ile Madame/ Verger";"12:30";0;;;;;;;;;"";
261265;"L_aiguille (zone interdite)_25/05/2016_13:20_Adrien Lowenstein_481";261266;"Estuaire de la Gironde et Mer des Pertuis";"EGMP_089";"L'aiguille (zone interdite)";"01:20";1;1;0;1;0;;;;;"";
