"ID Fiche Terrain";"Libellé Sortie";"ID Fiche Fréquentation";"Libellé Territoire";"Code Site";"Libellé Site";"Code Sous Site";"Libellé Sous Site";"Heure Comptage";"Type Activite";"Nb Total";"Nb Adultes";"Nb Enfants";"Autres usages";"Commentaires"
404225;"2018-09-07-GONB-FRE-021";404226;"Golfe Normand Breton";"GONB_12B";"Grêve des Marais - Grêve de Morlet";"GONB_Ra22";"Banche";"15:10";"total de pêcheurs à pied de loisir";2;;;"";"2 pêcheurs sur fouisseurs (main)"
404225;"2018-09-07-GONB-FRE-021";404227;"Golfe Normand Breton";"GONB_12B";"Grêve des Marais - Grêve de Morlet";"GONB_Ra17";"Grève de Garel";"15:10";"total de pêcheurs à pied de loisir";2;;;"";"2 pêcheurs sur fouisseurs (bêche)"
404225;"2018-09-07-GONB-FRE-021";404228;"Golfe Normand Breton";"GONB_12B";"Grêve des Marais - Grêve de Morlet";"GONB_Ra23";"Grève de Morlet";"15:15";"total de pêcheurs à pied de loisir";0;;;"Autres pêches de loisir";"2 pêcheurs appâts (vers marins - bêche)"
404244;"2018-09-07-GONB-FRE-029";404248;"Golfe Normand Breton";"GONB_12C";"Plaine de la Ville Ger et Bas Champs";"GONB_Ra27";"Port Saint-Jean";"15:25";"total de pêcheurs à pied de loisir";0;;;"";
404244;"2018-09-07-GONB-FRE-029";404246;"Golfe Normand Breton";"GONB_12C";"Plaine de la Ville Ger et Bas Champs";"GONB_Ra31";"La Ville Ger";"15:25";"total de pêcheurs à pied de loisir";5;5;0;"Pêche à pied professionnelle";"5 pêcheurs fouisseurs (râteau) + 7 pêcheurs pro (palourdes)"
404358;"2019-08-02-EGMP-FRE-052";420113;"Estuaire de la Gironde et Mer des Pertuis";"EGMP_154";"Côte des Conches";"EGMP_154_8";"Grande Côte";;"total de pêcheurs à pied de loisir";0;;;"";
404358;"2019-08-02-EGMP-FRE-052";420102;"Estuaire de la Gironde et Mer des Pertuis";"EGMP_154";"Côte des Conches";"EGMP_154_10";"Bureau";"12:15";"total de pêcheurs à pied de loisir";5;;;"";
404358;"2019-08-02-EGMP-FRE-052";420112;"Estuaire de la Gironde et Mer des Pertuis";"EGMP_154";"Côte des Conches";"EGMP_154_7";"Palmyre";;"total de pêcheurs à pied de loisir";0;;;"";
404358;"2019-08-02-EGMP-FRE-052";420111;"Estuaire de la Gironde et Mer des Pertuis";"EGMP_154";"Côte des Conches";"EGMP_154_9";"Platin";;"total de pêcheurs à pied de loisir";49;;;"";"20 pêcheurs qui ramassaient des huître sur un espace interdit pour risque de contamination au cadmium.
"
404358;"2019-08-02-EGMP-FRE-052";420109;"Estuaire de la Gironde et Mer des Pertuis";"EGMP_154";"Côte des Conches";"EGMP_154_13";"Pontaillac";;"total de pêcheurs à pied de loisir";5;2;3;"Promeneurs, joggeurs | Plagistes, baigneurs";
