"Libellé Sortie";"Code Enquète";"Heure début récolte";"Temps passé récolte";"Temps total Peche";"Nb pêcheurs récolte";"Panier vide";"Conformité maille";" Conformité quantité";"Tri du panier";"Espece";"Poids récolte";"Nb individus";"Volume récolté";"Type évaluation";"Poids maille";"Nb maille";"Volume maille";"Type évaluation maille";"Taille échantillon"
"Arcouest_21/03/2015_JeanPierre Guillosson+StéphaniePlagaLemanski_10";;;;;1;"Oui";;;
"Arcouest_21/03/2015_JeanPierre Guillosson+StéphaniePlagaLemanski_11";;;;;1;"Oui";;;
"Arcouest_21/03/2015_JeanPierre Guillosson+StéphaniePlagaLemanski_12";;;;;2;"Oui";;;
"Arcouest_21/03/2015_JeanPierre Guillosson+StéphaniePlagaLemanski_2";;;;;1;"Oui";;;
"Arcouest_21/03/2015_JeanPierre Guillosson+StéphaniePlagaLemanski_3";;;;;1;"Oui";;;
"Arcouest_21/03/2015_JeanPierre Guillosson+StéphaniePlagaLemanski_4";;;;;1;"Oui";;;
"Arcouest_21/03/2015_JeanPierre Guillosson+StéphaniePlagaLemanski_5";;;;;1;"Oui";;;
"Arcouest_21/03/2015_JeanPierre Guillosson+StéphaniePlagaLemanski_6";;;;;1;"Non";;;;"Etrille";;;;;;;;;
"Arcouest_21/03/2015_JeanPierre Guillosson+StéphaniePlagaLemanski_7";;;;;1;"Oui";;;
"Arcouest_21/03/2015_JeanPierre Guillosson+StéphaniePlagaLemanski_8";;;;;3;"Oui";;;
"Arcouest_21/03/2015_JeanPierre Guillosson+StéphaniePlagaLemanski_9";;;;;1;"Oui";;;
"Arcouest_28/09/2015_JeanPierre Guillosson_1";;;;;1;"Non";;;;"Praire";;;;;;;;;
"Arcouest_28/09/2015_JeanPierre Guillosson_10";;;;;1;"Non";;;;"Praire";;;;;;;;;
"Arcouest_28/09/2015_JeanPierre Guillosson_11";;;;;2;"Non";;;;"Praire";;;;;;;;;
"Arcouest_28/09/2015_JeanPierre Guillosson_12";;;;;1;"Non";;;;"Praire";;;;;;;;;
"Arcouest_28/09/2015_JeanPierre Guillosson_13";;;;;1;"Non";;;;"Praire";;;;;;;;;
"Arcouest_28/09/2015_JeanPierre Guillosson_14";;;;;1;"Non";;;;"Praire";;;;;;;;;
"Arcouest_28/09/2015_JeanPierre Guillosson_15";;;;;1;"Non";;;;"Praire";;;;;;;;;
"Arcouest_28/09/2015_JeanPierre Guillosson_2";;;;;1;"Non";;;;"Praire";;;;;;;;;
"Arcouest_28/09/2015_JeanPierre Guillosson_3";;;;;1;"Oui";;;
"Arcouest_28/09/2015_JeanPierre Guillosson_4";;;;;1;"Non";;;;"Huître creuse";;;;;;;;;
"Arcouest_28/09/2015_JeanPierre Guillosson_5";;;;;6;"Non";;;;"Praire";;;;;;;;;
"Arcouest_28/09/2015_JeanPierre Guillosson_5";;;;;6;"Non";;;;"Coques";;;;;;;;;
